C01 - Bâtiments;;;;;;
Nature du contrat;Code de catégorie;Description de la catégorie;Catégorie;Code UNSPSC;Description du code UNSPSC;Description détaillée du code UNSPSC
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102504;Construction de murs de soutènement;Construction de murs de soutènement/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102505;Travaux de peinture à fresque;Travaux de peinture à fresque/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102506;Insonorisation;Insonorisation/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102507;Installation de matériaux isolants;Installation de matériaux isolants/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102508;Restauration d'ouvrages de maçonnerie, de pierre ou de carreaux;Restauration d'ouvrages de maçonnerie, de pierre ou de carreaux/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102600;Charpenterie (menuiserie);Charpenterie (menuiserie)/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102601;Grosse menuiserie (charpenterie);Grosse menuiserie (charpenterie)/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102602;Pose de fenêtres, de portes ou de luminaires;Pose de fenêtres, de portes ou de luminaires/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102700;Services de pose de revêtements de plancher (couvre-planchers et parquets);Services de pose de revêtements de plancher (couvre-planchers et parquets)/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102701;Pose ou finition de revêtements intermédiaires de plancher;Pose ou finition de revêtements intermédiaires de plancher/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102702;Pose et entretien de revêtements de plancher (couvre-planchers et parquets);Pose et entretien de revêtements de plancher (couvre-planchers et parquets)/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102800;Services de rénovation, restauration;Services de rénovation, restauration/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102801;Rénovation d'immeubles ou de lieux historiques ou de monuments;Rénovation d'immeubles ou de lieux historiques ou de monuments/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102802;Restauration d'immeubles ou de lieux historiques ou de monuments;Restauration d'immeubles ou de lieux historiques ou de monuments/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72102903;Services d'entretien ou de réparations pour terrain de stationnement;Services d'entretien ou de réparations pour terrain de stationnement/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72103000;Services de préparation du terrain;Services de préparation du terrain/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72103002;Services de drainage par profilage;Services de drainage par profilage/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72103003;Services de démolition;Services de démolition/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72103004;Services d'excavation;Services d'excavation/Services de construction, de réparation et d'entretien d'immeubles
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72130000;Construction immobilière générale;Construction immobilière générale
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72131500;Construction de bâtiments résidentiels;Construction de bâtiments résidentiels/Construction immobilière générale
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72131501;Construction d'appartements;Construction d'appartements/Construction immobilière générale
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72131502;Construction d'habitations unifamiliales;Construction d'habitations unifamiliales/Construction immobilière générale
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72131600;Construction de bâtiments non résidentiels;Construction de bâtiments non résidentiels/Construction immobilière générale
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;72131800;Travaux de construction visant l'économie d'énergie;Travaux de construction visant l'économie d'énergie
